model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 05:56:36,212 : ADMM iteration: 1, Max iteration: 2, r-residual: 3.459008E-5, s-residual: 5.555861E-1, rho: 5.0, mze: 0.9666405320167542, mae: 1.23346745967865, time taken 18.2411713
2022-06-02 05:56:50,133 : ADMM iteration: 2, Max iteration: 2, r-residual: 2.960506E-5, s-residual: 9.998398E-2, rho: 2.5, mze: 0.9657083749771118, mae: 1.1717033386230469, time taken 13.856156399999996
2022-06-02 05:57:12,149 : ADMM iteration: 3, Max iteration: 3, r-residual: 3.384616E-5, s-residual: 2.584145E-2, rho: 1.25, mze: 0.9656593203544617, mae: 1.2008928060531616, time taken 21.9525868
2022-06-02 05:57:33,603 : ADMM iteration: 4, Max iteration: 3, r-residual: 5.694241E-5, s-residual: 1.240822E-2, rho: 0.625, mze: 0.9668367505073547, mae: 1.2352335453033447, time taken 21.376191999999996
2022-06-02 05:58:15,335 : ADMM iteration: 5, Max iteration: 6, r-residual: 2.069754E-4, s-residual: 1.193391E-2, rho: 0.3125, mze: 0.9664442539215088, mae: 1.3345271348953247, time taken 41.6703572
2022-06-02 05:59:12,351 : ADMM iteration: 6, Max iteration: 8, r-residual: 6.752338E-4, s-residual: 1.051223E-2, rho: 0.15625, mze: 0.9600667357444763, mae: 1.8504219055175781, time taken 56.95279620000001
2022-06-02 06:00:42,639 : ADMM iteration: 7, Max iteration: 13, r-residual: 2.095888E-3, s-residual: 9.005527E-3, rho: 0.15625, mze: 0.19956828653812408, mae: 0.4537382125854492, time taken 90.2146548
2022-06-02 06:02:05,760 : ADMM iteration: 8, Max iteration: 12, r-residual: 1.776224E-3, s-residual: 8.144920E-3, rho: 0.15625, mze: 0.15894819796085358, mae: 0.31922096014022827, time taken 83.0515173
2022-06-02 06:03:21,287 : ADMM iteration: 9, Max iteration: 11, r-residual: 1.540416E-3, s-residual: 7.377789E-3, rho: 0.15625, mze: 0.1477629542350769, mae: 0.2800725996494293, time taken 75.4642288
2022-06-02 06:04:35,184 : ADMM iteration: 10, Max iteration: 10, r-residual: 1.355256E-3, s-residual: 6.682810E-3, rho: 0.15625, mze: 0.1433967798948288, mae: 0.26378533244132996, time taken 73.83030769999999
2022-06-02 06:05:43,855 : ADMM iteration: 11, Max iteration: 10, r-residual: 1.259691E-3, s-residual: 6.347040E-3, rho: 0.15625, mze: 0.14084576070308685, mae: 0.2542189955711365, time taken 68.58905920000001
2022-06-02 06:06:46,215 : ADMM iteration: 12, Max iteration: 9, r-residual: 1.126009E-3, s-residual: 5.759457E-3, rho: 0.15625, mze: 0.13966836035251617, mae: 0.24960753321647644, time taken 62.30770140000004
2022-06-02 06:07:48,184 : ADMM iteration: 13, Max iteration: 9, r-residual: 1.066379E-3, s-residual: 5.523917E-3, rho: 0.15625, mze: 0.1388343870639801, mae: 0.24646781384944916, time taken 61.91133639999998
2022-06-02 06:08:49,934 : ADMM iteration: 14, Max iteration: 9, r-residual: 1.015661E-3, s-residual: 5.314960E-3, rho: 0.15625, mze: 0.1384909749031067, mae: 0.24450549483299255, time taken 61.68249270000001
2022-06-02 06:09:45,261 : ADMM iteration: 15, Max iteration: 8, r-residual: 9.145641E-4, s-residual: 4.824404E-3, rho: 0.15625, mze: 0.1382947415113449, mae: 0.24376961588859558, time taken 55.246279500000014
2022-06-02 06:10:40,078 : ADMM iteration: 16, Max iteration: 8, r-residual: 8.791318E-4, s-residual: 4.675622E-3, rho: 0.15625, mze: 0.13819661736488342, mae: 0.24308280646800995, time taken 54.75476389999994
2022-06-02 06:11:28,418 : ADMM iteration: 17, Max iteration: 7, r-residual: 7.868607E-4, s-residual: 4.210092E-3, rho: 0.15625, mze: 0.1379513293504715, mae: 0.24219976365566254, time taken 48.29835659999992
2022-06-02 06:12:16,780 : ADMM iteration: 18, Max iteration: 7, r-residual: 7.619623E-4, s-residual: 4.104034E-3, rho: 0.15625, mze: 0.13800039887428284, mae: 0.24224881827831268, time taken 48.30370370000003
2022-06-02 06:13:05,032 : ADMM iteration: 19, Max iteration: 7, r-residual: 7.400161E-4, s-residual: 4.006656E-3, rho: 0.15625, mze: 0.13780416548252106, mae: 0.24210165441036224, time taken 48.202945
2022-06-02 06:13:53,975 : ADMM iteration: 20, Max iteration: 7, r-residual: 7.209904E-4, s-residual: 3.916911E-3, rho: 0.15625, mze: 0.1378532201051712, mae: 0.24224881827831268, time taken 48.866231000000084
2022-06-02 06:14:34,905 : ADMM iteration: 21, Max iteration: 6, r-residual: 2.133446E-2, s-residual: 3.485843E-3, rho: 0.15625, mze: 0.13775509595870972, mae: 0.2420525848865509, time taken 40.87562960000014
2022-06-02 06:15:15,877 : ADMM iteration: 22, Max iteration: 6, r-residual: 3.971494E-2, s-residual: 3.421626E-3, rho: 0.3125, mze: 0.13775509595870972, mae: 0.2420525848865509, time taken 40.89142189999984
2022-06-02 06:15:43,112 : ADMM iteration: 23, Max iteration: 4, r-residual: 3.699220E-2, s-residual: 4.183369E-3, rho: 0.3125, mze: 0.13780416548252106, mae: 0.24210165441036224, time taken 27.17525220000016
2022-06-02 06:16:10,519 : ADMM iteration: 24, Max iteration: 4, r-residual: 2.245155E-2, s-residual: 4.138794E-3, rho: 0.3125, mze: 0.1379513293504715, mae: 0.24224881827831268, time taken 27.344718000000057
2022-06-02 06:16:45,019 : ADMM iteration: 25, Max iteration: 5, r-residual: 5.597678E-3, s-residual: 4.563082E-3, rho: 0.3125, mze: 0.13790227472782135, mae: 0.24219976365566254, time taken 34.454402200000004
2022-06-02 06:17:12,489 : ADMM iteration: 26, Max iteration: 4, r-residual: 4.613331E-3, s-residual: 4.049841E-3, rho: 0.3125, mze: 0.1379513293504715, mae: 0.24224881827831268, time taken 27.411333300000024
2022-06-02 06:17:39,849 : ADMM iteration: 27, Max iteration: 4, r-residual: 2.701440E-2, s-residual: 4.009986E-3, rho: 0.3125, mze: 0.13800039887428284, mae: 0.24229788780212402, time taken 27.31153139999992
2022-06-02 06:18:07,241 : ADMM iteration: 28, Max iteration: 4, r-residual: 3.863596E-2, s-residual: 3.971443E-3, rho: 0.3125, mze: 0.13800039887428284, mae: 0.24229788780212402, time taken 27.340010899999925
